Gender,HSC,SSC,Income,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
0,3.75,5.0,3.0,5,1,4,3,0,4,0,8,2.84,2.75
0,3.58,4.61,1.0,5,1,4,3,0,4,0,8,2.81,2.75
1,4.0,4.89,4.0,3,1,4,3,0,4,0,8,2.79,2.75
1,4.67,5.0,4.0,3,1,4,3,0,4,0,8,2.83,2.75
1,4.5,4.5,3.0,1,1,4,3,1,4,0,8,2.76,2.75
0,4.25,4.94,1.0,5,1,4,3,0,4,1,8,2.84,2.75
0,4.0,4.5,2.0,3,1,4,3,0,4,0,7,2.75,2.75
1,3.25,4.17,2.0,5,1,4,3,0,4,0,6,2.88,2.75
0,2.67,4.11,3.0,5,1,4,3,1,4,0,6,2.75,2.75
0,4.42,4.44,2.0,3,1,4,3,0,4,0,6,2.8,2.75
0,4.75,5.0,1.0,5,1,4,3,0,4,1,5,2.88,2.75
0,3.75,4.78,3.0,5,1,4,3,0,4,1,5,2.75,2.75
0,3.5,5.0,4.0,1,1,4,3,0,4,0,5,2.77,2.75
1,3.33,4.59,4.0,5,1,4,3,0,4,0,3,2.75,2.75
0,4.0,4.89,4.0,3,1,4,3,0,4,0,3,2.75,2.75
0,3.67,4.77,4.0,3,1,4,3,0,4,0,3,2.83,2.75
0,4.25,5.0,3.0,1,1,4,3,0,4,0,2,2.75,2.75
1,4.17,5.0,2.0,3,1,4,3,0,4,0,2,2.75,2.75
1,3.67,4.73,2.0,2,1,4,3,0,4,0,2,2.75,2.75
1,4.08,5.0,4.0,3,1,4,3,0,4,0,2,2.75,2.75
0,4.5,5.0,3.0,1,1,1,3,0,1,0,11,2.27,2.79
0,3.5,4.83,2.0,5,1,4,3,0,4,1,2,2.81,2.81
0,3.25,4.36,1.0,5,1,4,3,0,4,1,2,2.81,2.81
1,3.34,4.69,2.0,5,1,4,3,0,4,1,10,2.96,2.84
1,4.08,5.0,3.0,4,1,4,3,0,4,0,9,2.99,2.84
0,4.08,5.0,4.0,4,1,4,3,0,4,0,6,2.94,2.84
0,3.42,4.33,3.0,5,1,4,3,0,4,0,6,2.94,2.84
1,4.5,4.75,2.0,3,4,4,3,0,2,0,8,1.52,2.846
1,4.42,4.23,2.0,3,1,4,3,0,4,0,2,2.86,2.86
1,3.5,4.73,2.0,2,1,4,3,0,4,0,2,2.88,2.88
0,3.58,4.68,2.0,1,1,4,3,0,4,0,2,2.88,2.88
0,4.67,5.0,2.0,3,1,4,3,0,3,0,2,2.88,2.88
0,4.57,4.95,2.0,3,1,4,3,0,3,0,2,2.88,2.88
1,4.17,5.0,2.0,5,1,4,3,0,4,0,2,2.88,2.88
1,3.75,4.69,2.0,4,1,4,3,0,4,0,10,2.89,2.89
0,4.25,5.0,3.0,4,1,4,3,0,4,0,9,2.91,2.89
1,4.17,4.61,2.0,3,1,4,3,0,3,0,8,2.89,2.89
1,4.67,5.0,2.0,2,1,4,3,0,4,0,8,2.93,2.89
1,3.83,5.0,2.0,3,1,4,3,0,3,0,8,2.89,2.89
0,4.08,4.78,4.0,3,1,4,3,0,4,0,7,2.92,2.89
0,3.58,4.88,4.0,2,1,4,3,0,4,0,7,2.92,2.89
0,4.0,4.7,1.0,1,1,3,3,0,3,1,11,2.46,2.9
0,4.58,4.0,4.0,3,1,4,2,0,4,0,10,2.66,2.9
0,4.1,3.75,2.0,4,1,4,2,0,4,0,9,2.57,2.9
0,3.33,4.61,4.0,3,1,4,2,0,4,0,9,2.44,2.9
0,3.67,3.06,4.0,5,1,4,2,0,4,1,8,2.55,2.9
0,4.17,4.61,3.0,5,1,4,2,0,4,0,8,2.64,2.9
1,3.83,5.0,2.0,4,1,4,2,0,4,0,8,2.6,2.9
0,4.67,4.75,4.0,3,1,4,2,0,4,0,7,2.6,2.9
0,4.5,4.28,2.0,3,1,4,2,0,4,0,7,2.6,2.9
0,4.33,5.0,4.0,5,1,4,2,0,4,0,6,2.5,2.9
0,3.17,4.67,4.0,4,1,4,2,0,4,0,6,2.41,2.9
1,4.5,4.56,3.0,3,1,4,2,0,4,0,6,2.5,2.9
1,3.76,4.0,4.0,4,1,4,2,0,4,0,6,2.56,2.9
0,2.59,4.88,4.0,5,1,4,2,0,4,0,6,2.55,2.9
0,3.33,3.78,2.0,4,1,4,2,0,4,0,6,2.69,2.9
1,4.5,5.0,2.0,5,1,4,2,0,4,1,5,2.67,2.9
0,4.17,4.61,2.0,3,1,4,2,0,4,0,5,2.5,2.9
1,4.42,5.0,2.0,3,1,4,2,0,3,0,3,2.67,2.9
0,3.85,5.0,2.0,4,1,4,2,0,4,0,3,2.42,2.9
0,3.92,5.0,4.0,2,1,4,3,0,4,0,2,2.92,2.92
1,4.0,5.0,4.0,4,1,4,2,0,4,0,10,2.42,2.94
0,3.33,4.89,1.0,2,1,4,3,0,4,0,2,2.94,2.94
